PRODUCTO;Modelo ;Descripcion ;Proveedor ;;Quantity;Price USD
ID-00005224;10413;PICO DE GOTEO P/MANGUERA NEGRA;POLINAM S.R.L;SIN RAMO;484;17,12
ID-00005225;DISC2750;0;ELECTROMECANICA LA-SER SRL;LA-SER;0;0,00
ID-00005226;MIG200;SOLDADORA MIG-MAG/MMA 200 AMP MONOF.;ELECTROMECANICA LA-SER SRL;LASER;0;0,00
ID-00005227;REG36;ASPERSOR C/ BASE GIRATORIA;ANGAR DISTRIBUCIONES;SIN RAMO;8;9543,05
ID-00005228;186094;PINZA PORTA ELECTRODO 300AMP;PROCOM;ROTTWEILER;3;27,16
ID-00005229;186095;PINZA PORTAELECTRODO 500 AMP;PROCOM;ROTTWEILER;5;39,87
ID-00005230;DISC275;SOLDADORA LASER DISCOVERY 200AMP;ELECTROMECANICA LA-SER SRL;LASER;0;0,00
ID-00005231;912;MASA MAGNETICA PARA SOLDAR;MARTINEZ ALEJANDRO;KEMEN;3;3351,68
ID-00005232;4466153;AMOLADORA DE BANCO C/LIJA DE BANDA EINHE;ITURRIA S.A;EINHELL;0;0,00
ID-00005233;344;LIJADORA ROTO ORBITAL BAROVO;ALEJANDRO BERMON;BAROVO;0;0,00
ID-00005234;90890100422;SELLADOR P/PARABRISAS NEGRO 600ML WURT;WURTH ARGENTINA S.A.;WURTH;3;94,30
ID-00005235;90890100404;SELLADOR P/PARABRISAS NEGRO 310ML WURT;WURTH ARGENTINA S.A.;WURTH;3;15,42
ID-00005236;11272000398;MOTOSIERRA MS 310 D;STIHL MOTOIMPLEMENTOS S.A;STIHL;1;785,87
ID-00005237;7582;HOJA DE LIJA 80 ANTI-EMPASTE BREMEN;BREMEN TOOLS ARGENTINA S.A.;BREMEN;9;1,93
ID-00005238;;HOYADORA KUSHIRO 52CC 2T C/MECHA;ALEJANDRO BERMON;KUSHIRO;1;372,66
ID-00005239;326;BOMBA DE FLUIDOS KUSHIRO;ALEJANDRO BERMON;KUSHIRO;1;9316,46
ID-00005240;432;COMPRESOR 100 LTS KUSHIRO;ALEJANDRO BERMON;KUSHIRO;2;0,00
ID-00005241;433;COMPRESOR 25 LTS KUSHIRO;ALEJANDRO BERMON;KUSHIRO;1;250259,14
ID-00005242;488;INFLADOR DIGITAL RECARGABLE 12V;ALEJANDRO BERMON;KUSHIRO;1;61877,26
ID-00005243;490;COMPRESOR DOBLE PISTON KUSHIRO. 12V;ALEJANDRO BERMON;KUSHIRO;0;0,00
ID-00005244;436;TALADRO DE BANCO 13MM C/MORSA;ALEJANDRO BERMON;BAROVO;2;514105,87
ID-00005245;04605.550;MOTOGUADAÑA HONDA 4T UMK 450;BERMON DISTRIBUIDORA S.R.L;HONDA;2;2362,75
ID-00005246;02925;CABO DE MAZA 90CM;BERMON DISTRIBUIDORA S.R.L;SIN RAMO;6;26,96
ID-00005247;6650;CUTTER METALICO ALUM.BREMEN HOJA RETRAC. BREMEN TOOLS ARGENTINA S.A.;;BREMEN;4;4,36
ID-00005248;186162;MANGUERA P/PISCINA 32MM;PROCOM;SIN RAMO;15;7,52
ID-00005249;186163;MANGUERA P/PISCINA 38MM;PROCOM;SIN RAMO;8;19,85
ID-00005250;170040;RACORD TRIPLE P/MANG 1/4;PROCOM;SIN RAMO;2;2,90
ID-00005251;;ABRAZADERA JUNTAMAS PPL P/PVC 75MM;HIDRO SUR;JUNTAMAS;0;0,00
ID-00005252;;;;;0;0,00
ID-00005253;;;;;0;0,00
ID-00005254;;ABRAZADERA JUNTAMAS PPL P/PVC 110MM;HIDRO SUR;JUNTAMAS;1;3402,54
ID-00005255;7503;"CORTA PERNO 14"" BREMEN";BREMEN TOOLS ARGENTINA S.A.;BREMEN;2;6,99
ID-00005256;HTP002;TALADRO C/PERCUTOR 710W HAMILTON. 13MM;GACINOL S.R.L;HAMILTON;2;0,00
ID-00005257;220.100.123;REGULADOR DE CARGA SOLAR MPPT 12/24V 30A;FIASA S.A.I.C Y F.;FIASA;0;0,00
ID-00005258;G1831;MOTOGUADAÑA GAMMA 26CC EJE CURVO;GRUPO SIMPA S.A.;GAMMA;4;949,40
ID-00005259;3501;LLAVE CRIQUE 1/2 BREMEN PROFECIONAL;BREMEN TOOLS ARGENTINA S.A.;BREMEN;1;6,80
ID-00005260;230.243.201;CONVERTIDOR DE 24V/220V 2000W ONDA PURA;FIASA S.A.I.C Y F.;FIASA;0;0,00
ID-00005261;230.000.050;CONVER/INVER DE 24V/220V 3000W ONDA PURA;FIASA S.A.I.C Y F.;FIASA;0;0,00
ID-00005262;230350001;CONECTOR TIPO MC4 SIMPLE;FIASA S.A.I.C Y F.;FIASA;1;8,75
ID-00005263;250999224;BATERIA P/GRUPO ELEC ZONGSHEN 8500;FIASA S.A.I.C Y F.;FIASA;1;133,05
ID-00005264;11272000390;MOTOSIERRA STIHL MS 310;STIHL MOTOIMPLEMENTOS S.A;STIHL;0;0,00
ID-00005265;00042;CUCHARA ALBAÑIL N7 GHERARDI;BERMON DISTRIBUIDORA S.R.L;BERMON;6;26,58
ID-00005266;00421.25;BARRETA INDUSTRIAL 32 X 1,20MTS;BERMON DISTRIBUIDORA S.R.L;EL ROBLE;1;95,28
ID-00005267;180814;PUNTA P/SOLDAR VESUBIO;CRIMARAL S.A.I.C.F.E.I;VESUBIO;1;867,58
ID-00005268;3500;LLAVE CRIQUE 1/2  DOBLE CON EXPUL/ARRIME;BREMEN TOOLS ARGENTINA S.A.;BREMEN;2;26,20
ID-00005269;3409;SDS MECHA P/ HORMIG. 14*210MM;BREMEN TOOLS ARGENTINA S.A.;BREMEN;1;0,82
